symbol,name,current_mv
TTI,"TETRA Technologies, Inc.","998,716 USD"
FUBO,"fuboTV, Inc.","997,056 USD"
CDRE,"Cadre Holdings, Inc.","996,827 USD"
VTNR,"Vertex Energy, Inc.","994,212 USD"
SQZB,SQZ Biotechnologies Co.,993 USD
HDSN,"Hudson Technologies, Inc.","992,274 USD"
AREN,"Arena Group Holdings, Inc. (The)","99,061 USD"
MYPS,"Playstudios, Inc.","989,046 USD"
MSBI,"Midland States Bancorp, Inc.","988,312 USD"
DMRC,Digimarc Corp.,"986,122 USD"
MBI,"MBIA, Inc.","985,150 USD"
ONEW,"OneWater Marine, Inc.","983,988 USD"
REVG,"REV Group, Inc.","981,015 USD"
NHTC,Natural Health Trends Corp.,"98,673 USD"
MKUL,"Molekule Group, Inc.","98,364 USD"
CELL,"PhenomeX, Inc.","98,116 USD"
PETQ,"PetIQ, Inc.","976,159 USD"
MRIN,"Marin Software, Inc.",974 USD
NFBK,"Northfield Bancorp, Inc.","972,773 USD"
FOR,"Forestar Group, Inc.","972,221 USD"
BHRB,Burke & Herbert Financial Services Corp.,"970,511 USD"
GLTO,"Galecto, Inc.","97,998 USD"
APLT,"Applied Therapeutics, Inc.","97,861 USD"
NXTC,"NextCure, Inc.","97,605 USD"
VIRX,"Viracta Therapeutics, Inc.","97,325 USD"
CATC,Cambridge Bancorp,"969,759 USD"
TPB,"Turning Point Brands, Inc.","968,179 USD"
MOV,"Movado Group, Inc.","962,821 USD"
RAIL,"FreightCar America, Inc.","96,781 USD"
VIRC,Virco Mfg. Corp.,"96,135 USD"
ORC,"Orchid Island Capital, Inc.","959,052 USD"
EGY,"VAALCO Energy, Inc.","955,232 USD"
CCB,Coastal Financial Corp.,"954,616 USD"
CCBG,"Capital City Bank Group, Inc.","951,495 USD"
MBIN,Merchants Bancorp,"950,834 USD"
PASG,"Passage Bio, Inc.","95,787 USD"
CVUA,"CPI Aerostructures, Inc.","95,667 USD"
NTGR,"NETGEAR, Inc.","949,669 USD"
MOND,"Mondee Holdings, Inc.","949,655 USD"
ASPN,"Aspen Aerogels, Inc.","949,380 USD"
OCUL,"Ocular Therapeutix, Inc.","947,139 USD"
IDT,IDT Corp.,"946,420 USD"
ATNI,"ATN International, Inc.","945,598 USD"
TK,Teekay Corp.,"942,137 USD"
PDEX,"Pro-Dex, Inc.","94,698 USD"
HLTH,"Cue Health, Inc.","94,689 USD"
CSPI,"CSP, Inc.","94,434 USD"
NSTS,"NSTS Bancorp, Inc.","94,321 USD"
CGTX,"Cognition Therapeutics, Inc.","94,111 USD"
ARAV,"Aravive, Inc.","94,031 USD"
MXCT,"MaxCyte, Inc.","935,639 USD"
NR,"Newpark Resources, Inc.","932,431 USD"
LNSR,"LENSAR, Inc.","93,470 USD"
EMKR,EMCORE Corp.,"93,124 USD"
VALU,"Value Line, Inc.","93,085 USD"
BLBD,Blue Bird Corp.,"929,975 USD"
HCI,"HCI Group, Inc.","929,295 USD"
SLDP,"Solid Power, Inc.","927,824 USD"
ARTNA,Artesian Resources Corp.,"927,637 USD"
HAFC,Hanmi Financial Corp.,"927,467 USD"
ANGO,"AngioDynamics, Inc.","926,069 USD"
CECO,CECO Environmental Corp.,"926,062 USD"
MLR,"Miller Industries, Inc.","923,568 USD"
SCVL,"Shoe Carnival, Inc.","923,539 USD"
ALDX,"Aldeyra Therapeutics, Inc.","920,819 USD"
USIO,"Usio, Inc.","92,978 USD"
WRAP,"Wrap Technologies, Inc.","92,951 USD"
AAMC,Altisource Asset Management Corp.,"92,433 USD"
MIRO,"Miromatrix Medical, Inc.","92,101 USD"
LXFR,Luxfer Holdings plc,"918,319 USD"
LQDT,"Liquidity Services, Inc.","914,562 USD"
KPLT,"Katapult Holdings, Inc.",911 USD
UVE,"Universal Insurance Holdings, Inc.","910,941 USD"
DYAI,"Dyadic International, Inc.","91,791 USD"
FEIM,"Frequency Electronics, Inc.","91,555 USD"
RSSS,"Research Solutions, Inc.","91,231 USD"
DJCO,Daily Journal Corp.,"906,314 USD"
BVH,Bluegreen Vacations Holding Corp.,"906,152 USD"
PLPC,Preformed Line Products Co.,"905,068 USD"
THFF,First Financial Corp.,"904,322 USD"
NHF,NexPoint Diversified Real Estate Trust,"903,293 USD"
ANAB,"AnaptysBio, Inc.","902,974 USD"
RFIL,RF Industries Ltd.,"90,864 USD"
CASA,"Casa Systems, Inc.","90,681 USD"
CLIR,ClearSign Technologies Corp.,"90,486 USD"
MHH,"Mastech Digital, Inc.","90,036 USD"
ASRV,"AmeriServ Financial, Inc.","90,033 USD"
SWAG,"Stran & Co., Inc.","9,345 USD"
ALEC,"Alector, Inc.","898,303 USD"
LIND,"Lindblad Expeditions Holdings, Inc.","896,229 USD"
WTI,"W&T Offshore, Inc.","896,002 USD"
ONL,"Orion Office REIT, Inc.","890,360 USD"
SBEV,"Splash Beverage Group, Inc.","89,948 USD"
AMPX,"Amprius Technologies, Inc.","89,822 USD"
ANIK,"Anika Therapeutics, Inc.","888,438 USD"
ASLE,AerSale Corp.,"886,645 USD"
FRPH,"FRP Holdings, Inc.","886,463 USD"
FNKO,"Funko, Inc.","886,223 USD"
NPK,"National Presto Industries, Inc.","886,013 USD"
LOVE,Lovesac Co. (The),"883,071 USD"
TERN,"Terns Pharmaceuticals, Inc.","882,858 USD"
OSUR,"OraSure Technologies, Inc.","880,407 USD"
CTO,"CTO Realty Growth, Inc.","880,379 USD"
EMBK,"Embark Technology, Inc.","88,534 USD"
LIVE,"Live Ventures, Inc.","88,185 USD"
CAMP,CalAmp Corp.,"88,027 USD"
CVLG,"Covenant Logistics Group, Inc.","878,003 USD"
LQDA,Liquidia Corp.,"875,715 USD"
EBS,"Emergent BioSolutions, Inc.","875,084 USD"
NEWT,"NewtekOne, Inc.","874,420 USD"
OPI,Office Properties Income Trust,"872,949 USD"
CPF,Central Pacific Financial Corp.,"872,895 USD"
